"","Symbol","Date","Prev.Close","Open.Price","High.Price","Low.Price","Close.Price","Average.Price","Total.Traded.Quantity","MA30","MA50","MA100","MA200"
"1853","UTIBANK","29-Dec-06",456.4,456.4,472.5,456.4,469.6,467.14,547831,474.5216667,459.75,408.337,360.294
"1854","UTIBANK","2-Jan-07",469.6,471.8,471.8,461.3,467.9,467.15,181426,473.95,460.913,409.8125,360.78675
"1855","UTIBANK","3-Jan-07",467.9,469.9,477.95,465.3,474.65,472.14,245834,473.3633333,462.004,411.2825,361.3855
"1856","UTIBANK","4-Jan-07",474.65,479.9,485,469.1,474.25,479.21,313550,472.385,463.078,412.685,361.98625
"1857","UTIBANK","5-Jan-07",474.25,473,480.75,466.3,472.85,475.94,254825,471.3066667,464.167,414.1135,362.60125
"1858","UTIBANK","8-Jan-07",472.85,472,472,459,465.55,463.79,496519,470.1766667,465.131,415.469,363.14175
"1859","UTIBANK","9-Jan-07",465.55,470,475,460.05,467.25,466.81,1086719,469.2016667,466.107,416.802,363.68775
"1860","UTIBANK","10-Jan-07",467.25,468.5,472,455.2,461.6,465.22,352622,468.0533333,466.782,418.0945,364.233
"1861","UTIBANK","11-Jan-07",461.6,463.95,484,458,478.55,467.13,1101571,467.6316667,467.635,419.5825,364.90875
"1862","UTIBANK","12-Jan-07",478.55,489.8,502,484.9,499.8,494.47,1154720,468.63,468.804,421.274,365.659
"1863","UTIBANK","15-Jan-07",499.8,542,543,502,533.3,522.95,970334,470.5966667,470.555,423.344,366.62125
"1864","UTIBANK","16-Jan-07",533.3,501.1,562.85,501.1,551.15,542.35,1170697,472.5183333,472.767,425.512,367.59675
"1865","UTIBANK","17-Jan-07",551.15,551,564.9,541.25,547.6,553.29,805259,474.2433333,474.958,427.6965,368.5295
"1866","UTIBANK","18-Jan-07",547.6,548.5,556,538.25,546.95,549.01,1887707,476.0983333,477.4,429.7355,369.426
"1867","UTIBANK","19-Jan-07",546.95,546.95,547.1,530.5,535.25,535.65,458794,477.84,479.458,431.595,370.289
"1868","UTIBANK","22-Jan-07",535.25,540.65,553.9,530,546.35,542.62,352476,479.9516667,481.629,433.584,371.27
"1869","UTIBANK","23-Jan-07",546.35,547,548,505,509.15,521.02,883364,481.425,482.912,435.203,372.069
"1870","UTIBANK","24-Jan-07",509.15,520,520,505,509.05,511.29,744847,483.5983333,484.055,436.8805,372.91475
"1871","UTIBANK","25-Jan-07",509.05,518.7,518.7,512.35,514.35,514.6,413093,486.3666667,484.875,438.523,373.8915
"1872","UTIBANK","29-Jan-07",514.35,521,522.5,501,504,510.99,294666,488.45,485.615,440.042,374.73525
"1873","UTIBANK","31-Jan-07",504,504,539.5,504,534.6,526.69,1093289,491.33,486.596,441.867,375.647
"1874","UTIBANK","1-Feb-07",534.6,535.5,547.4,530.4,542.15,541.38,496986,494.1133333,487.738,443.82,376.62675
"1875","UTIBANK","2-Feb-07",542.15,545,615,543.2,587.75,582.86,2128312,497.9566667,489.648,446.266,377.82125
"1876","UTIBANK","5-Feb-07",587.75,588,600,559.9,564.8,576.75,1434267,501.18,490.872,448.5215,378.925
"1877","UTIBANK","6-Feb-07",564.8,565,571.9,545.3,547.65,556.66,1242440,503.9916667,491.721,450.6495,379.9545
"1878","UTIBANK","7-Feb-07",547.65,547,566,547,552.85,556.32,684041,506.8983333,492.789,452.8485,380.98325
"1879","UTIBANK","8-Feb-07",552.85,532.25,569.85,532.25,564.1,562.2,859541,510.325,494.141,455.101,382.0185
"1880","UTIBANK","9-Feb-07",564.1,556.1,582,542,573.3,572.49,1869043,513.9816667,495.686,457.342,383.14475
"1881","UTIBANK","12-Feb-07",573.3,553.3,575,549.5,553.85,555.98,623474,516.8866667,496.939,459.4015,384.18575
"1882","UTIBANK","13-Feb-07",553.85,553,553,498.6,518,532.67,1152239,518.94,497.902,461.066,385.0365
"1883","UTIBANK","14-Feb-07",518,506.3,526,476.65,520.75,502.64,1366473,520.645,498.831,462.8065,385.81125
"1884","UTIBANK","15-Feb-07",520.75,523,549,521,546.55,538.54,1046920,523.2666667,499.892,464.8025,386.691
"1885","UTIBANK","19-Feb-07",546.55,553.75,564,535.1,547.55,552.07,1244264,525.6966667,500.926,466.726,387.58875
"1886","UTIBANK","20-Feb-07",547.55,540,552,525,531.7,533.42,805370,527.6116667,501.734,468.5145,388.4355
"1887","UTIBANK","21-Feb-07",531.7,521.05,542.4,511.3,536.45,534.2,556864,529.7316667,502.803,470.354,389.32775
"1888","UTIBANK","22-Feb-07",536.45,530,540,514,519.6,525.94,1017474,531.5333333,503.535,472.049,390.0905
"1889","UTIBANK","23-Feb-07",519.6,524,527.7,481.1,490.95,496.34,1682661,532.3233333,504.055,473.257,390.674
"1890","UTIBANK","26-Feb-07",490.95,493,504.05,484.15,495.45,493.85,575413,533.4516667,505.087,474.2655,391.288
"1891","UTIBANK","27-Feb-07",495.45,500,502,483.1,487.65,491.98,723324,533.755,506.214,475.35,391.9205
"1892","UTIBANK","28-Feb-07",487.65,474.7,486.9,415,460.7,469.08,709959,532.4516667,506.598,476.1525,392.49425
"1893","UTIBANK","1-Mar-07",460.7,466.95,492,457,484.75,472.14,397400,530.8333333,507.329,477.162,393.231
"1894","UTIBANK","2-Mar-07",484.75,486,488,462.25,470.2,474.88,660004,528.135,507.56,477.976,393.862
"1895","UTIBANK","5-Mar-07",470.2,465,465,432.2,446.6,443.85,815248,524.7683333,507.043,478.4975,394.46825
"1896","UTIBANK","6-Mar-07",446.6,449,469,420.2,431.1,432.53,1178189,520.9066667,506.303,478.9225,395.005
"1897","UTIBANK","7-Mar-07",431.1,449.9,458,396.25,415.35,418.66,1387033,516.91,505.344,479.1855,395.464
"1898","UTIBANK","8-Mar-07",415.35,423.65,450,412.05,436.1,431.2,863747,513.235,504.753,479.6745,396.068
"1899","UTIBANK","9-Mar-07",436.1,439.9,467.9,427,456.4,455.05,967997,511.4766667,504.655,480.2655,396.81075
"1900","UTIBANK","12-Mar-07",456.4,451,472.95,451,459.05,464.03,641141,509.81,504.564,480.756,397.62375
"1901","UTIBANK","13-Mar-07",459.05,457.1,501.2,457.1,493.6,483.31,1090008,509.1183333,505.102,481.499,398.57825
"1902","UTIBANK","14-Mar-07",493.6,485,485,463.5,472.8,470.96,1304939,508.0783333,505.43,482.079,399.39725
"1903","UTIBANK","15-Mar-07",472.8,481.95,496.4,465.05,469.3,477.71,549148,505.9016667,505.424,482.587,400.23425
"1904","UTIBANK","16-Mar-07",469.3,475.7,477,436.5,448.7,453.26,685452,502.7866667,505.04,482.9765,401.0515
"1905","UTIBANK","19-Mar-07",448.7,455,475.5,442.1,470.05,457.24,520700,498.8633333,504.948,483.476,401.97725
"1906","UTIBANK","20-Mar-07",470.05,480,481,458.5,462.8,471.02,454288,495.4633333,504.719,483.8985,402.747
"1907","UTIBANK","21-Mar-07",462.8,465,485,463,481.1,478.89,676557,493.245,504.884,484.5255,403.61225
"1908","UTIBANK","22-Mar-07",481.1,488,508.9,485.1,503.9,501.72,885384,491.6133333,505.651,485.391,404.651
"1909","UTIBANK","23-Mar-07",503.9,504.9,530,491.55,524.65,515.48,995365,490.2983333,506.799,486.453,405.81825
"1910","UTIBANK","26-Mar-07",524.65,529.25,544,516.8,519.55,528.59,621965,488.5066667,507.958,487.37,407.13875
"1911","UTIBANK","28-Mar-07",519.55,519,524,486,495.35,501.84,780328,486.5566667,508.294,487.9645,408.312
"1912","UTIBANK","29-Mar-07",495.35,505,515.15,473.15,480,479.84,1359849,485.29,507.898,488.351,409.42825
"1913","UTIBANK","30-Mar-07",480,487,494.5,482.5,490.4,489.71,691505,484.2783333,507.04,488.7975,410.6645
"1914","UTIBANK","2-Apr-07",490.4,469.95,472.9,450,459.3,462.8,942394,481.37,505.203,488.985,411.7455
"1915","UTIBANK","3-Apr-07",459.3,466,473,455.25,465.5,465.99,584744,478.635,503.561,489.2595,412.82325
"1916","UTIBANK","4-Apr-07",465.5,466,478,455.15,458.7,464.24,695597,476.2016667,501.796,489.598,413.81025
"1917","UTIBANK","5-Apr-07",458.7,465,465,435,451.45,450.04,1223539,473.3683333,500.12,489.789,414.729
"1918","UTIBANK","9-Apr-07",451.45,455,504.8,455,499.35,481.34,1595309,472.6933333,499.18,490.4045,415.9205
"1919","UTIBANK","10-Apr-07",499.35,500,505,483.3,489.3,491.83,857744,472.6383333,498.783,490.8475,417.0555
"1920","UTIBANK","11-Apr-07",489.3,489.3,494.95,465.05,467.8,479.53,625886,471.7166667,497.958,491.0065,417.9805
