,Symbol,Series,Date,Prev.Close,Open.Price,High.Price,Low.Price,Last.Price,Close.Price,Average.Price,Total.Traded.Quantity,Turnover,No..of.Trades,Deliverable.Qty,X..Dly.Qt.to.Traded.Qty,,,MA30,MA50,MA100,MA200
1,UTIBANK,EQ,1-Jan-99,16.65,16.5,16.9,16.5,16.9,16.9,16.63,14500,241130,-,-,-,,,,,,
2,UTIBANK,EQ,4-Jan-99,16.9,17.15,17.55,16.75,16.85,16.85,17.11,22900,391770,-,-,-,,,,,,
3,UTIBANK,EQ,5-Jan-99,16.85,16.75,16.85,15.5,16,16,16.15,61100,986755,-,-,-,,,,,,
4,UTIBANK,EQ,6-Jan-99,16,16.5,16.7,15.9,15.95,15.95,16.14,18100,292210,-,-,-,,,,,,
5,UTIBANK,EQ,7-Jan-99,15.95,16.35,18,16.15,17.85,17.85,17.43,93700,1633105,-,-,-,,,,,,
6,UTIBANK,EQ,8-Jan-99,17.85,17.9,18,17.05,18,18,17.77,85000,1510090,-,-,-,,,,,,
7,UTIBANK,EQ,11-Jan-99,18,18.2,18.2,17.25,17.3,17.3,17.7,39600,700975,-,-,-,,,,,,
8,UTIBANK,EQ,12-Jan-99,17.3,16.6,17.6,16.55,17.15,17.15,17.18,39700,682200,-,-,-,,,,,,
9,UTIBANK,EQ,13-Jan-99,17.15,17.15,17.35,16.95,16.95,16.95,17.15,18000,308680,-,-,-,,,,,,
10,UTIBANK,EQ,14-Jan-99,16.95,16.5,17.25,16.5,17,17,17.02,12600,214500,-,-,-,,,,,,
11,UTIBANK,EQ,15-Jan-99,17,16.8,16.9,16.4,16.4,16.4,16.59,11700,194050,-,-,-,,,,,,
12,UTIBANK,EQ,18-Jan-99,16.4,16.3,16.85,16.3,16.6,16.6,16.56,5700,94385,-,-,-,,,,,,
13,UTIBANK,EQ,19-Jan-99,16.6,17,17,16,16.25,16.25,16.29,16200,263935,-,-,-,,,,,,
14,UTIBANK,EQ,21-Jan-99,16.25,16.9,16.9,16,16.35,16.35,16.58,5800,96185,-,-,-,,,,,,
15,UTIBANK,EQ,22-Jan-99,16.35,16.75,16.85,16.35,16.55,16.55,16.67,6000,100045,-,-,-,,,,,,
16,UTIBANK,EQ,25-Jan-99,16.55,16.5,16.85,16.35,16.55,16.55,16.57,7500,124285,-,-,-,,,,,,
17,UTIBANK,EQ,27-Jan-99,16.55,16.25,16.6,16.25,16.25,16.25,16.36,5100,83445,-,-,-,,,,,,
18,UTIBANK,EQ,28-Jan-99,16.25,15.8,16.2,15.8,15.8,15.8,16.02,10300,164990,-,-,-,,,,,,
19,UTIBANK,EQ,29-Jan-99,15.8,15.5,16,15.5,15.95,15.95,15.82,10400,164480,-,-,-,,,,,,
20,UTIBANK,EQ,1-Feb-99,15.95,16,16,15.3,15.5,15.5,15.48,9900,153230,-,-,-,,,,,,
21,UTIBANK,EQ,2-Feb-99,15.5,15.6,15.75,15.3,15.55,15.55,15.46,24100,372700,-,-,-,,,,,,
22,UTIBANK,EQ,3-Feb-99,15.55,16,16,15.6,15.75,15.75,15.86,5800,91995,-,-,-,,,,,,
23,UTIBANK,EQ,4-Feb-99,15.75,15.75,15.9,15.5,15.55,15.55,15.67,5600,87740,-,-,-,,,,,,
24,UTIBANK,EQ,5-Feb-99,15.55,15.5,15.85,15.5,15.5,15.5,15.65,5700,89190,-,-,-,,,,,,
25,UTIBANK,EQ,8-Feb-99,15.5,15.5,15.5,15,15.35,15.35,15.3,4000,61190,-,-,-,,,,,,
26,UTIBANK,EQ,9-Feb-99,15.35,15.1,15.5,15,15.1,15.1,15.07,15000,226040,-,-,-,,,,,,
27,UTIBANK,EQ,10-Feb-99,15.1,15.45,15.45,15,15.25,15.25,15.21,17900,272305,-,-,-,,,,,,
28,UTIBANK,EQ,11-Feb-99,15.25,15.45,15.5,15,15.3,15.3,15.24,10900,166160,-,-,-,,,,,,
29,UTIBANK,EQ,12-Feb-99,15.3,15.05,15.45,15,15.25,15.25,15.2,6200,94230,-,-,-,,,,,,
30,UTIBANK,EQ,15-Feb-99,15.25,15.4,15.4,14.55,15.2,15.2,15.07,33800,509330,-,-,-,,,16.19833333,,,
31,UTIBANK,EQ,16-Feb-99,15.2,14.9,15.4,14.8,14.8,14.8,15.05,43500,654660,-,-,-,,,16.12833333,,,
