Symbol,Date,Prev.Close,Open.Price,High.Price,Low.Price,Close.Price,Average.Price,Total.Traded.Quantity,MA30,MA50,MA100,MA200
UTIBANK,29-Sep-99,17.4,17.5,17.95,17.3,17.5,17.65,15800,17.97,17.55,16.845,15.7975
UTIBANK,30-Sep-99,15.2,20,20,20,20,20,5,18.04333333,17.597,16.905,15.813
UTIBANK,30-Sep-99,17.5,17.5,17.9,17.25,17.6,17.48,30700,18.03,17.599,16.95,15.81675
UTIBANK,1-Oct-99,17.6,17.15,17.95,17,17.25,17.37,69500,18,17.596,16.9825,15.823
UTIBANK,4-Oct-99,17.25,17.1,17.45,16.9,17.1,17.07,17600,17.945,17.59,17.0085,15.82875
UTIBANK,5-Oct-99,17.1,17,17.3,16.5,16.85,16.79,34800,17.885,17.595,17.027,15.82375
UTIBANK,6-Oct-99,16.85,20.7,21,17.4,18,17.77,46500,17.86,17.637,17.0595,15.82375
UTIBANK,7-Oct-99,18,18,19,17.5,18,18.24,123400,17.84333333,17.659,17.092,15.82725
UTIBANK,8-Oct-99,18,18.2,18.2,17.25,17.4,17.72,101800,17.81166667,17.667,17.107,15.8285
UTIBANK,11-Oct-99,17.4,18.75,18.9,17.8,18.1,18.23,107300,17.82166667,17.699,17.1425,15.83425
UTIBANK,12-Oct-99,18.1,18,18.45,17.5,18,18,88900,17.82333333,17.715,17.17,15.83925
UTIBANK,13-Oct-99,18,18.9,19.9,17.9,18.15,18.38,119400,17.81166667,17.746,17.198,15.848
UTIBANK,14-Oct-99,18.15,18.95,19.5,17.95,18.05,18.52,105700,17.825,17.774,17.226,15.85525
UTIBANK,15-Oct-99,18.05,18.7,18.7,17.5,17.55,17.78,40800,17.81,17.794,17.255,15.86175
UTIBANK,18-Oct-99,17.55,17,18,17,17.65,17.49,43500,17.79333333,17.814,17.2845,15.86825
UTIBANK,20-Oct-99,20,19.5,19.5,19.5,19.5,19.5,10,17.84666667,17.874,17.3305,15.883
UTIBANK,20-Oct-99,17.65,19.5,19.5,17.85,18,18.13,72900,17.84666667,17.904,17.362,15.89025
UTIBANK,21-Oct-99,18,18.9,18.9,17.8,17.95,18.05,44900,17.85,17.926,17.3935,15.89875
UTIBANK,22-Oct-99,17.95,17.5,18.3,17,17.75,17.52,34400,17.835,17.931,17.4215,15.9085
UTIBANK,23-Oct-99,17.75,18,18.3,17.6,18.2,18.09,41600,17.84666667,17.962,17.455,15.91975
UTIBANK,25-Oct-99,18.2,18.25,18.4,17.85,18,18.04,49500,17.84333333,17.964,17.473,15.93225
UTIBANK,26-Oct-99,18,18.1,18.1,17.5,17.75,17.81,28700,17.84166667,17.963,17.4955,15.94325
UTIBANK,27-Oct-99,17.75,18.4,19.5,17.75,17.85,18.05,23600,17.83666667,17.96,17.516,15.95375
UTIBANK,28-Oct-99,17.85,17.6,18.4,17.5,17.5,17.66,20000,17.82166667,17.947,17.532,15.9635
UTIBANK,29-Oct-99,17.5,18,18,16.8,17.5,17.35,27700,17.82166667,17.922,17.547,15.9735
UTIBANK,1-Nov-99,17.5,17.75,17.75,16,16.25,16.69,20300,17.77833333,17.874,17.5515,15.978
UTIBANK,2-Nov-99,16.25,16,17,15.05,16.2,16.08,53900,17.72666667,17.823,17.558,15.9835
UTIBANK,3-Nov-99,16.2,16.5,16.85,16.2,16.25,16.42,35100,17.68333333,17.778,17.543,15.9885
UTIBANK,4-Nov-99,16.25,16.7,16.85,15.9,16.25,16.14,43200,17.65166667,17.736,17.549,15.99325
UTIBANK,5-Nov-99,16.25,16,16.4,15.95,16,16.05,19900,17.605,17.7,17.5515,15.997
UTIBANK,7-Nov-99,16,16,16.6,16,16.2,16.29,10300,17.56166667,17.665,17.558,16.002
UTIBANK,9-Nov-99,16.2,16.4,16.6,15.75,16.2,16.21,22700,17.435,17.619,17.565,16.009
UTIBANK,10-Nov-99,16.2,16.2,16.75,16.2,16.5,16.51,7900,17.39833333,17.596,17.5735,16.01625
UTIBANK,11-Nov-99,16.5,16.5,16.75,16.3,16.3,16.44,11500,17.36666667,17.562,17.576,16.02275
UTIBANK,12-Nov-99,16.3,16.7,16.7,16.05,16.55,16.41,15700,17.34833333,17.53,17.5835,16.0305
UTIBANK,15-Nov-99,16.55,16.8,17,16,16.15,16.18,14300,17.325,17.495,17.581,16.03725
UTIBANK,16-Nov-99,16.15,16.05,16.45,16.05,16.25,16.23,16100,17.26666667,17.46,17.586,16.0475
UTIBANK,17-Nov-99,16.25,16.1,16.5,16.1,16.15,16.25,17200,17.205,17.426,17.5775,16.05425
UTIBANK,18-Nov-99,16.15,16.5,16.5,16.1,16.15,16.23,13800,17.16333333,17.385,17.559,16.06125
UTIBANK,19-Nov-99,16.15,16,16.4,16,16.1,16.14,22800,17.09666667,17.35,17.5515,16.07025
UTIBANK,22-Nov-99,16.1,16,16.5,16,16.05,16.13,16000,17.03166667,17.309,17.5445,16.07675
UTIBANK,24-Nov-99,16.05,16.45,16.55,16.15,16.3,16.4,11300,16.97,17.279,17.546,16.087
UTIBANK,25-Nov-99,16.3,16.2,16.5,15.7,16.4,16.2,11500,16.915,17.247,17.5465,16.0805
UTIBANK,26-Nov-99,16.4,16.9,17.5,16.1,16.65,16.76,31200,16.885,17.221,17.5165,16.079
UTIBANK,29-Nov-99,16.65,17.4,17.4,16.7,16.75,16.93,21500,16.855,17.206,17.5015,16.07725
UTIBANK,30-Nov-99,16.75,16.8,17,16.05,16.5,16.53,25400,16.755,17.185,17.4415,16.079
UTIBANK,1-Dec-99,16.5,17,17.1,16.35,16.85,16.86,19100,16.71666667,17.167,17.42,16.08425
UTIBANK,2-Dec-99,16.85,17,17.35,16.6,17.2,17.15,39400,16.69166667,17.16,17.403,16.09125
UTIBANK,3-Dec-99,17.2,17.5,19,17.5,18.7,18.36,117700,16.72333333,17.19,17.39,16.108
UTIBANK,6-Dec-99,18.7,19,23.4,19,23.4,23.2,252100,16.89666667,17.31,17.438,16.14975
UTIBANK,7-Dec-99,23.4,24.9,25.3,24,24.95,25.07,535000,17.12833333,17.459,17.5045,16.20075
UTIBANK,8-Dec-99,24.95,25.9,26.9,23,23.05,25.36,540400,17.305,17.52,17.5585,16.247
UTIBANK,9-Dec-99,23.05,23,23.7,22,22.95,22.85,171400,17.475,17.627,17.613,16.2905
UTIBANK,10-Dec-99,22.95,23,23.5,21.5,21.9,22.02,99000,17.62166667,17.72,17.658,16.3275
UTIBANK,13-Dec-99,21.9,22.6,23.25,22,22.5,22.74,135500,17.78833333,17.828,17.709,16.3685
UTIBANK,14-Dec-99,19.5,23.5,23.5,23.5,23.5,23.5,100,18.03,17.961,17.778,16.41475
UTIBANK,14-Dec-99,22.5,23,23,21.35,21.6,21.82,199100,18.21,18.033,17.835,16.45375
UTIBANK,15-Dec-99,21.6,22.5,23,21.2,22.55,22.45,105000,18.42,18.124,17.8915,16.49875
UTIBANK,16-Dec-99,22.55,22.95,24.35,22.25,24.35,24.16,237200,18.69,18.263,17.965,16.55075
UTIBANK,17-Dec-99,24.35,25,26.3,25,26.3,26.26,337200,19.03333333,18.427,18.063,16.61175
UTIBANK,20-Dec-99,26.3,28,28.4,28,28.4,28.39,137800,19.44,18.635,18.175,16.68425
UTIBANK,21-Dec-99,23.5,29,29,27,27,28.75,800,19.8,18.812,18.279,16.7525
UTIBANK,21-Dec-99,28.4,30.7,30.7,26.6,27.25,28.34,589400,20.15833333,18.996,18.385,16.8185
UTIBANK,22-Dec-99,27,28,28,28,28,28,50,20.54833333,19.205,18.4995,16.8885
UTIBANK,22-Dec-99,27.25,29.4,29.45,26.1,26.7,27.44,308300,20.88666667,19.386,18.6,16.95425
UTIBANK,23-Dec-99,26.7,28,28.5,25.1,25.6,26.04,71400,21.20166667,19.508,18.691,17.016
UTIBANK,24-Dec-99,25.6,26.5,26.7,23.55,24.35,24.3,98500,21.47166667,19.635,18.7695,17.0715
UTIBANK,27-Dec-99,24.35,22.65,23.1,22.4,22.7,22.68,63200,21.69,19.73,18.828,17.1185
UTIBANK,28-Dec-99,22.7,22.85,24.45,22,23.95,23.46,158900,21.95,19.854,18.8925,17.17125
UTIBANK,29-Dec-99,23.95,24,24.95,23.25,24.2,24.05,82400,22.22,19.974,18.968,17.22675
UTIBANK,30-Dec-99,24.2,24,25.15,24,24.7,24.82,92900,22.50833333,20.108,19.036,17.2855
UTIBANK,3-Jan-00,28,26.7,26.7,26.7,26.7,26.7,50,22.855,20.287,19.125,17.354
UTIBANK,3-Jan-00,24.7,26.7,26.7,26.7,26.7,26.7,112100,23.19833333,20.464,19.212,17.41775
UTIBANK,4-Jan-00,26.7,27,28.7,26.5,26.85,27.24,234500,23.53833333,20.651,19.299,17.48675
UTIBANK,5-Jan-00,26.85,26,27.75,25.5,26.3,26.24,170100,23.85666667,20.827,19.3745,17.55225
UTIBANK,6-Jan-00,26.3,25.8,27,25.8,25.95,26.27,102100,24.17166667,21.021,19.4475,17.617
UTIBANK,7-Jan-00,25.95,25,26,24.25,24.8,25.04,62600,24.43666667,21.193,19.508,17.674
UTIBANK,10-Jan-00,26.7,26.25,26.25,26.25,26.25,26.25,105,24.73833333,21.393,19.5855,17.739
UTIBANK,10-Jan-00,24.8,25.05,26.5,25,25,25.29,64200,24.94833333,21.568,19.652,17.797
